,group,names,scores,logfoldchanges,pvals,pvals_adj
69,0,EGFR,10.615279,1.2326007,2.530356136422267e-26,5.0809551219359125e-25
70,0,CRISP3,10.461641,1.8827312,1.2959115757869002e-25,2.5346010819935994e-24
71,0,HPGD,10.442016,2.1071875,1.5939007209186917e-25,3.0774544688507046e-24
72,0,IGHV1-3,10.350571,2.169812,4.159969338317779e-25,7.980781940772707e-24
73,0,IGLV1-44,10.329199,1.7959255,5.199306403227624e-25,9.911589168684559e-24
74,0,CLEC11A,10.22327,1.6479137,1.5598706101061586e-24,2.936456423524843e-23
75,0,IGHV3-23,10.070362,1.7058145,7.470288256855334e-24,1.3803992778925317e-22
76,0,RASL11A,9.965958,2.28659,2.1479460842379597e-23,3.9209779428634756e-22
77,0,GRB7,9.938927,1.6132112,2.8184626454336166e-23,5.113981619304851e-22
78,0,PSORS1C2,9.737206,3.2459087,2.0922621103147827e-22,3.6638915559698405e-21
79,0,IGLV2-14,9.734573,1.164761,2.1471756300221023e-22,3.738319651807268e-21
80,0,VWA1,9.656651,1.6111475,4.606798108309159e-22,7.974526380590338e-21
81,0,LBP,9.595604,1.604325,8.342699755923385e-22,1.4358978094194992e-20
83,0,ERBB2,9.531803,1.3112935,1.5457507737532986e-21,2.6010063299133714e-20
84,0,DNAJA4,9.380301,1.4905207,6.578447699771619e-21,1.0947118492658628e-19
85,0,IGKV1-8,9.370747,2.3321323,7.202151638552853e-21,1.1919165239187467e-19
86,0,IL20,9.328174,3.4429967,1.0771108328845284e-20,1.7631836025261955e-19
87,0,DUSP10,9.320648,2.059184,1.1563162391690408e-20,1.8826078445281897e-19
88,0,IGKV3D-11,9.189088,2.3914669,3.961848694854442e-20,6.313803316879142e-19
89,0,IGLV3-1,9.060237,1.1907291,1.3016805755764143e-19,2.052702562113173e-18
90,0,IGHV1-18,9.026745,1.7758889,1.7685402605909623e-19,2.774397533802072e-18
91,0,LTBP4,8.921295,1.4199418,4.608657026711916e-19,7.11860254587502e-18
92,0,IGLV3-21,8.902854,1.4928322,5.442869625737802e-19,8.364246588123601e-18
94,0,TIAM1,8.697729,2.401994,3.3859225853124354e-18,5.0487122905747805e-17
95,0,MYO1B,8.68339,1.001014,3.841467118295701e-18,5.69975318241707e-17
96,0,AP000769.1,8.605844,1.6504432,7.575778453197571e-18,1.1076817816034508e-16
98,0,GLA,8.514274,1.347429,1.6763820221503283e-17,2.4159151438836313e-16
99,0,TSPAN1,8.286842,1.530836,1.1629486996461217e-16,1.6680007063495804e-15
100,0,GPX3,7.732165,1.4428784,1.0573307343390023e-14,1.4345406179410245e-13
101,0,IGHV3-30,7.66985,1.4073473,1.721976796751613e-14,2.3154437999177937e-13
103,0,CX3CL1,7.359452,1.4339616,1.8466718436678105e-13,2.4288976389202818e-12
104,0,IGLV1-47,6.9485693,1.3685347,3.690086593997057e-12,4.5927854632723704e-11
105,0,NDUFA4L2,6.450317,1.3934078,1.1161664756995546e-10,1.2880817719567272e-09
106,0,ELN,6.2656674,3.3552337,3.712321273490769e-10,4.1722058491620134e-09
107,0,ALPL,6.2397475,2.6764982,4.3827810633041853e-10,4.90741136158818e-09
109,0,CYP4B1,6.141577,2.0837228,8.170632034079704e-10,9.014631387050575e-09
110,0,TFF1,6.022605,1.7540199,1.7163177522530156e-09,1.8798360253767573e-08
111,0,IGHV1-2,6.0098777,1.7162248,1.8566361372477344e-09,2.0261550889094842e-08
112,0,IGLV4-69,5.982174,2.3982227,2.2017918173018716e-09,2.368498912040442e-08
113,0,NPW,5.9466105,1.3689326,2.737517564050483e-09,2.9033108813098786e-08
115,0,JAKMIP1,5.6417537,2.2278214,1.683265808374032e-08,1.701341145913619e-07
116,0,TSPAN8,5.523781,1.5377021,3.317809577480903e-08,3.276472933564748e-07
117,0,CYP4X1,5.3828287,1.8063699,7.332437057885941e-08,7.12429045753305e-07
119,0,POU2F2,5.2916117,1.5006081,1.2124308244541863e-07,1.1556460896379776e-06
121,0,IGLV3-19,5.1287107,1.0135142,2.917328888137643e-07,2.67896177166786e-06
122,0,PTP4A3,5.0709114,1.2686555,3.9591522063781495e-07,3.6136261956396927e-06
123,0,SERHL2,4.832485,1.1768657,1.348392536607636e-06,1.2051508368730562e-05
124,0,MPZL3,4.8247647,1.7292756,1.4016858506622387e-06,1.249076266921498e-05
125,0,SPTSSB,4.8048277,1.362829,1.5488474813307188e-06,1.3761441338549042e-05
126,0,GABRD,4.768391,3.0666475,1.8570287996539371e-06,1.6402846758233602e-05
127,0,RASD1,4.661353,1.3845344,3.1413734968144308e-06,2.7425556441753815e-05
128,0,C2CD4B,4.587193,3.1014028,4.4924491067196345e-06,3.877150919610183e-05
129,0,EDN2,4.5460978,1.2516536,5.464971463474884e-06,4.702998299424672e-05
130,0,TNFRSF18,4.4039373,2.015906,1.0630365033232006e-05,8.968812179298264e-05
132,0,IGKV1-27,4.3782682,2.298001,1.1962605244827433e-05,0.00010008713054838951
133,0,IGKV1-17,4.3603473,2.2307434,1.2985619672047518e-05,0.00010804609517184287
135,0,FFAR2,4.1205273,2.6489725,3.780060729328103e-05,0.000305242437446012
136,0,DERL3,4.0414624,1.1031237,5.311891951633024e-05,0.0004232650412253616
138,0,LINC00863,4.0191793,1.2990934,5.84011606646516e-05,0.0004629060418998174
140,0,IGHV3-48,3.7997193,1.9239314,0.0001448600305658108,0.0011102249670845348
141,0,HIST1H3C,3.7512054,2.13692,0.00017598643689929782,0.0013353402589417766
142,0,CH17-262H11.1,3.7225866,2.1204703,0.0001971922053444598,0.00149231890074752
143,0,PBX4,3.536776,1.5575414,0.00040504308394103794,0.0029186358105990585
145,0,RBP5,3.503475,1.1003286,0.00045922995661088487,0.00328551218363892
146,0,IL33,3.5027084,1.4535563,0.000460553288387196,0.0032871718119010297
147,0,EPOR,3.466625,1.5868502,0.0005270368004436483,0.003752801047130659
150,0,SCUBE2,3.4356277,2.7154584,0.0005911825245164797,0.004170121226800086
151,0,IGHV3-73,3.3991308,2.3386464,0.0006760036291350487,0.004746207298262859
152,0,EGR4,3.2751658,1.3950664,0.0010560000453461718,0.007228800310415158
153,0,IGHV4-61,3.2336798,2.608515,0.0012220634827733448,0.00830892823953344
3012,1,FDCSP,54.763336,8.76603,0.0,0.0
3013,1,CDKN2A,33.83699,3.4984832,5.639016391259082e-251,4.2461793426180894e-248
3014,1,MARCO,32.209927,5.9040217,1.2816160374482753e-227,6.433712507990342e-225
3015,1,GAL,32.04605,5.4832354,2.4918020670849477e-225,1.072186832294266e-222
3016,1,IGKV1-5,28.667332,3.2290094,9.749209662644651e-181,3.6705774379857116e-178
3017,1,CSRP2,27.47439,2.5673547,3.552772732423768e-166,1.0700951470060389e-163
3018,1,GABRP,26.273342,3.2821314,3.868574947428719e-152,8.963190570504079e-150
3019,1,NSMCE4A,25.310778,2.9312825,2.430703439931081e-141,4.57579922567026e-139
3020,1,VIM,23.37732,2.0278306,7.270934283956184e-121,9.521762636206969e-119
3022,1,CD74,18.760862,1.3799614,1.578154282515098e-78,1.639103689288095e-76
3023,1,HULC,17.946291,9.905605,5.130370561796725e-72,4.6826291309490104e-70
3025,1,CRABP1,16.632431,2.2540681,4.05788654205912e-62,2.842407968530714e-60
3026,1,IGLV3-25,16.418447,2.679818,1.411307598306744e-60,9.66104201386344e-59
3027,1,DLK1,16.09018,2.891058,2.989665511321986e-58,1.9575809826308308e-56
3028,1,RP1-60O19.1,15.913027,3.6666827,5.146371499972295e-57,3.229348116232615e-55
3029,1,CD24,15.707385,1.2805228,1.3461825161096957e-55,8.109403477044808e-54
3030,1,IGLV1-51,15.650958,3.9662726,3.2725309490073986e-55,1.9327182781196637e-53
3031,1,IGKV3-11,14.901786,1.7053218,3.2088714342975336e-50,1.7259144214471734e-48
3032,1,MT1E,14.894048,1.8841236,3.602814270369808e-50,1.9038029091848878e-48
3033,1,IGLV2-14,14.456128,2.6664686,2.293414386187818e-47,1.1512940218662847e-45
3034,1,CPM,13.906049,4.0132117,5.820750796647604e-44,2.8277582902423525e-42
3036,1,PLTP,13.235547,2.1080236,5.469694689752713e-40,2.4227530008139954e-38
3037,1,BCL2A1,12.860106,4.7132154,7.547219281811567e-38,3.157253399557839e-36
3038,1,DKK1,12.697247,2.0477867,6.124673668830756e-37,2.492907714934897e-35
3039,1,UCHL1,12.207595,1.3912598,2.831343386476565e-34,1.0528402814898041e-32
3040,1,CXCL10,12.0949335,2.4998567,1.12332659303994e-33,4.126170363702804e-32
3041,1,S100A1,11.984019,1.711875,4.309119696161912e-33,1.5091940145162417e-31
3042,1,IGLV3-1,11.638607,2.4628143,2.622627246329479e-31,8.818911522783426e-30
3043,1,IGLV7-46,11.261933,7.8051014,2.0227269014999496e-29,6.622231986215052e-28
3045,1,VCAM1,10.766477,4.565502,4.956066661365784e-27,1.3951096059844617e-25
3046,1,IGKV3-20,10.670526,1.1035758,1.398332393327302e-26,3.7943938456773275e-25
3047,1,GPM6B,10.255854,1.8157445,1.113870919672228e-24,2.843202720383687e-23
3048,1,IGLV1-40,10.030244,1.4058806,1.1223919680367709e-23,2.771020170267831e-22
3049,1,IGLV3-19,9.567188,2.889734,1.0985280910684496e-21,2.5066413714380075e-20
3050,1,IGLV2-11,9.30712,3.900466,1.3134541628066574e-20,2.846132329765217e-19
3053,1,FBLN1,8.995495,1.7020844,2.35170150475917e-19,4.722216621556413e-18
3054,1,IGKV1-9,8.897785,1.1303301,5.697194419604562e-19,1.1289440520953252e-17
3055,1,BCL2,8.804636,3.2323902,1.3127832934812621e-18,2.584381228735661e-17
3056,1,IGHV4-34,8.800454,3.660188,1.3626397260261828e-18,2.6479166805102338e-17
3057,1,JCHAIN,8.774935,2.5928068,1.7100331826439146e-18,3.2806496472124014e-17
3058,1,MT1G,8.529108,2.2649243,1.4747990458564266e-17,2.742033781555282e-16
3059,1,IGLV6-57,7.9231772,4.3557563,2.315169840820709e-15,3.8740508669733194e-14
3060,1,IGLV3-21,7.8332453,2.2190104,4.754346265434567e-15,7.868181841477427e-14
3061,1,IGHV2-26,7.3569283,7.776555,1.8819000035156115e-13,2.90681169773796e-12
3062,1,IGLV2-18,7.168442,5.308105,7.58560761679033e-13,1.1423925070886238e-11
3063,1,CD83,7.066393,2.171704,1.5901271327114542e-12,2.3593413417373894e-11
3064,1,IGLV3-9,6.8644366,4.954602,6.675417529252847e-12,9.66651807601422e-11
3065,1,IGHV3-15,6.8557687,4.6574903,7.093010575763741e-12,1.0222080313014541e-10
3066,1,IGLV1-47,6.8114424,2.1874182,9.662500789543277e-12,1.3858786846716358e-10
3067,1,ACTG2,6.7373924,1.61586,1.6125421327303323e-11,2.269615375599888e-10
3068,1,MPZ,6.728144,2.905862,1.7184086548410822e-11,2.407370636456437e-10
3069,1,AQP1,6.6897693,1.9284301,2.235228287517386e-11,3.116901667593688e-10
3071,1,CCL4,6.464706,2.7905135,1.0149613632995806e-10,1.3467240644309852e-09
3072,1,C1QB,6.4292445,2.3867466,1.282395310693018e-10,1.6941116999155132e-09
3073,1,IGHV3-53,6.2377205,4.2516246,4.439933603723901e-10,5.814382614963648e-09
3076,1,IGHV3-30,6.2057424,2.0971613,5.443930193022668e-10,7.007315274095844e-09
3077,1,RAMP2,6.192633,3.186454,5.916727726752046e-10,7.519486883112726e-09
3078,1,LYZ,6.112846,1.9594197,9.786978132039188e-10,1.208130251381231e-08
3079,1,SCG5,5.9805603,4.758325,2.223710965291823e-09,2.6791269709835885e-08
3080,1,IGHV5-51,5.8687615,3.194881,4.390626675419326e-09,5.1258013745593065e-08
3081,1,C1QC,5.8336444,2.4125435,5.4229690808117e-09,6.210639875058875e-08
3082,1,RGS16,5.8021,1.8775109,6.5489419129960796e-09,7.443552091299695e-08
3083,1,UBD,5.7338834,1.9992445,9.815682738759814e-09,1.1031655376546477e-07
3084,1,IGHV3-66,5.6355486,4.107782,1.7450208035610437e-08,1.9112736946639503e-07
